# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Tue Apr 21 17:30:16 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Evans et al. 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.06 0.69525 8.00000 0.1000000015 1.1711064577    0.100 -2.667  3.3903  4.618    0  0.000  0.545     0.00     0.00 -1 -4.24e-16      0.00 5.840e-01 3.560e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 11.438 13.486 16.201 12.145
0.06 0.69525 8.00000 0.1101529971 1.2507227659    0.110 -2.618  3.3915  4.616    0  0.000  0.545     0.00     0.00 -1 -4.54e-16      0.00 5.840e-01 3.560e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 11.315 13.363 16.077 12.022
0.06 0.69525 8.00000 0.1199999973 1.3193154335    0.120 -2.573  3.3928  4.613    0  0.000  0.545     0.00     0.00 -1 -4.84e-16      0.00 5.840e-01 3.560e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 11.202 13.250 15.963 11.909
0.06 0.69525 8.00000 0.1400000006 1.4384527206    0.140 -2.493  3.3954  4.611    0  0.000  0.545     0.00     0.00 -1  -5.4e-16      0.00 5.840e-01 3.560e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 11.004 13.051 15.764 11.711
0.06 0.69525 8.00000 0.1551028490 1.5146360397    0.155 -2.429  3.4018  4.617    0  0.000  0.545     0.00     0.00 -1 -5.91e-16      0.00 5.840e-01 3.560e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 10.843 12.891 15.605 11.550
0.06 0.69525 8.00000 0.1599999964 1.5372931957    0.160 -2.408  3.4040  4.618    0  0.000  0.545     0.00     0.00 -1  -6.1e-16      0.00 5.840e-01 3.560e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 10.791 12.839 15.553 11.498
0.06 0.69525 8.00000 0.1921103150 1.6664055586    0.192 -2.285  3.4202  4.639    0  0.000  0.545     0.00     0.00 -1 -7.21e-16      0.00 5.840e-01 3.560e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 10.483 12.495 15.167 11.159
0.06 0.69525 8.00000 0.2000000030 1.6938791275    0.200 -2.258  3.4236  4.643    0  0.000  0.545     0.00     0.00 -1 -7.49e-16      0.00 5.840e-01 3.560e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 10.415 12.379 14.990 11.051
0.06 0.69525 8.00000 0.2377497256 1.8082022667    0.238 -2.140  3.4395  4.664    0  0.000  0.545     0.00     0.00 -1  -8.8e-16      0.00 5.840e-01 3.560e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 10.120 11.883 14.240 10.586
0.06 0.69525 8.00000 0.2500000000 1.8403258324    0.250 -2.105  3.4441  4.670    0  0.000  0.545     0.00     0.00 -1 -9.23e-16      0.00 5.840e-01 3.560e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 10.033 11.742 14.033 10.454
0.06 0.69525 8.00000 0.2870011926 1.9261237383    0.287 -2.012  3.4558  4.683    0  0.000  0.545     0.00     0.00 -1 -1.05e-15      0.00 5.840e-01 3.560e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 9.800 11.372 13.496 10.108
0.06 0.69525 8.00000 0.3000000417 1.9529141188    0.300 -1.982  3.4595  4.686    0  0.000  0.545     0.00     0.00 -1  -1.1e-15      0.00 5.840e-01 3.560e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 9.724 11.253 13.325 9.998
0.06 0.69525 8.00000 0.3499999940 2.0434174538    0.350 -1.869  3.4732  4.696    0  0.000  0.545     0.00     0.00 -1 -1.31e-15      0.00 5.840e-01 3.560e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 9.442 10.832 12.743 9.606
0.06 0.69525 8.00000 0.4000000060 2.1185026169    0.400 -1.756  3.4873  4.697    0  0.000  0.545     0.00     0.00 -1 -1.58e-15      0.00 5.840e-01 3.560e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 9.160 10.417 12.173 9.222
0.06 0.69525 8.00000 0.4500000179 2.1822810173    0.450 -1.634  3.5015  4.683    0  0.000  0.545     0.00     0.00 -1    -2e-15      0.00 5.840e-01 3.560e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 8.854 10.002 11.637 8.835
0.06 0.69525 8.00000 0.5000000596 2.2374544144    0.500 -1.516  3.5181  4.678    0  0.000  0.545     0.00     0.00 -1  -2.5e-15      0.00 5.840e-01 3.560e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 8.561 9.589 11.092 8.456
0.06 0.69525 8.00000 0.5443993211 2.2789664268    0.544 -1.394  3.5364  4.665    0  0.000  0.545     0.00     0.00 -1  -3.2e-15      0.00 5.841e-01 3.560e-01 1.079e-02 2.910e-03 2.639e-02 -1.000 5.993e-02 8.254 9.172 10.561 8.073
0.06 0.69525 8.00000 0.5500000119 2.2836582661    0.550 -1.377  3.5388  4.663    0  0.000  0.545     0.00     0.00 -1 -3.32e-15      0.00 5.841e-01 3.560e-01 1.079e-02 2.910e-03 2.639e-02 -1.000 5.991e-02 8.214 9.117 10.492 8.023
0.06 0.69525 8.00000 0.5575324297 2.2897980213    0.557 -1.351  3.5435  4.660    0  0.000  0.545     0.00     0.00 -1 -3.51e-15      0.00 5.841e-01 3.560e-01 1.079e-02 2.910e-03 2.639e-02 -1.000 5.992e-02 8.146 9.021 10.366 7.936
